domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.faz.net,0.03007109788359788,0.18471296336508103,0.08979056437389771,0.13511228403934175,54.0
www.zeit.de,0.016535947712418297,0.16016132253909732,0.08545751633986928,0.11905697909048636,51.0
www.stern.de,-0.034463083213083216,0.1754576014772566,0.07079725829725829,0.12387049381910337,33.0
www.golem.de,0.07849059376837154,0.08985752084792045,0.03130511463844797,0.061163153289348966,27.0
www.sueddeutsche.de,0.0051428571428571435,0.24011238540466118,0.06533333333333333,0.10832478598759962,25.0
www.tagesspiegel.de,0.09157407407407407,0.20440151969043663,0.10291005291005291,0.13987683838173484,18.0
www.welt.de,0.0186344537815126,0.22065396754728375,0.08858543417366947,0.12837221312797673,17.0
www.diepresse.com,0.11942328042328043,0.1579242422414556,0.09052910052910053,0.12523183937579305,15.0
www.tagesschau.de,-0.04978174603174604,0.23630325012299405,0.07060185185185185,0.11895576763632303,12.0
www.n-tv.de,0.13189935064935063,0.21278382481855018,0.09761904761904762,0.131055154476042,11.0
taz.de,-0.07166666666666666,0.1810548651584123,0.18333333333333332,0.06273105439242341,10.0
www.dw.com,0.002604166666666668,0.1993906578167673,0.17038690476190477,0.14838161264840477,8.0
www.freitag.de,0.07141723356009069,0.10380819324838828,0.12188208616780045,0.12330300773799947,7.0
www.basicthinking.de,0.045,0.17845790041974108,0.07142857142857142,0.14960264830861913,7.0
www.spektrum.de,-0.04722222222222222,0.15578356305630744,0.027777777777777776,0.06804138174397717,6.0
www.telepolis.de,-0.0009259259259259597,0.40843599112680634,0.03333333333333333,0.08164965809277261,6.0
www.bild.de,0.005333333333333345,0.2716395692007252,0.064,0.14310835055998655,5.0
www.nzz.ch,-0.08785714285714286,0.08243736026430576,0.06190476190476191,0.08518354199999198,5.0
www.focus.de,-0.14916666666666667,0.40565790184998657,0.0,0.0,4.0
www.prnewswire.com,0.17499999999999996,0.3499999999999999,0.0,0.0,4.0
www.morgenpost.de,0.1175,0.1080219885023415,0.06666666666666667,0.11547005383792516,3.0
scilogs.spektrum.de,0.4166666666666667,0.14433756729740646,0.16666666666666666,0.2886751345948129,3.0
ooe.orf.at,0.05000000000000001,0.21213203435596428,0.0,0.0,2.0
www.derstandard.at,0.25,0.3535533905932738,0.0,0.0,2.0
www.gamestar.de,0.11666666666666665,0.1649915822768611,0.08333333333333333,0.11785113019775792,2.0
orf.at,-0.0875,0.12374368670764581,0.25,0.0,2.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
steiermark.orf.at,0.0,1.0,0.0,1.0,1.0
www.deutsche-startups.de,0.0,1.0,0.0,1.0,1.0
wien.orf.at,0.0,1.0,0.0,1.0,1.0
www.derstandard.de,0.0,1.0,0.0,1.0,1.0
www.jungewelt.de,0.0,1.0,0.0,1.0,1.0
www.globenewswire.com,0.0,1.0,0.0,1.0,1.0
www.gamepro.de,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
www.drweb.de,0.0,1.0,0.0,1.0,1.0
hallespektrum.de,0.0,1.0,0.0,1.0,1.0
