keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.8
'Batterieproduktion',de,Energiewende,#88ff88,#88ff88,1,0.8
'Batteriegroßspeicher',de,Energiewende,#88ff88,#88ff88,1,0.8
'Bioenergie',de,Energiewende,#88ff88,#88ff88,1,0.79935006
'Biogas',de,Energiewende,#88ff88,#88ff88,1,0.77583774
'Geoengineering',de,Geo_Engineering,#00ffff,#00ffff,1,0.7
'Batteriespeicher',de,Energiewende,#88ff88,#88ff88,2,0.6104460186749999
'Spitzenlast Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.595450045
'fossile Brennstoffe',de,Energiewende,#88ff88,#88ff88,2,0.573171269840909
'Kernfusion',de,Energiewende,#88ff88,#88ff88,1,0.54569042875
'Ökologie Klimawandel',de,Oekologie,#88ffff,#88ffff,1,0.3837907809769642
'Tipping Points Klimawandel',de,Tipping_Points,#ffff88,#ffff88,1,0.3658824165493748
'Klimawandel',de,Klimawandel,#ff0000,#ff0000,3,0.2371006373278845
'Landwirtschaft Klimawandel',de,Landwirtschaft,#00ff00,#00ff00,3,0.2359644535828061
'Fracking Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.2240429691285709
'Verbrenner-Aus Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.2214692006221303
'Netzausbau Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.2076299216828962
'Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.2056923524584981
'Windkraft Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.2026370035185741
'Gesundheit Klimawandel',de,Gesundheit,#ff8888,#ff8888,3,0.1991319671621288
'Kernkraft Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1976052504696192
'Solaranlagen Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.1937353691484068
'Energiewende Klimawandel',de,Energiewende,#ff88ff,#ff88ff,1,0.1898437218694051
'Wasserstoff Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1880970691863188
'Wasserversorgung Klimawandel',de,Wasserversorgung,#ffffff,#ffffff,2,0.1871170669790395
'Wärmewende',de,Waermewende,#ffff00,#ffff00,1,0.1844543241316996
'erneuerbare Energien Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.1814405910684791
'Industrie Klimawandel',de,Industrie,#000000,#000000,2,0.1707173632890979
'Stromspeicher Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1705313343910755
'Gaskraftwerke Energiewende',de,Energiewende,#88ff88,#88ff88,2,0.1656700513412904
'Balkonkraftwerk Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1561095752145761
'Klimaextreme Klimawandel',de,Klimaextreme,#0000ff,#0000ff,1,0.1550193343619651
'fossile Subventionen Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1535806397050337
'Dunkelflaute Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1496845022363086
'Lithium Energiewende',de,Energiewende,#88ff88,#88ff88,1,0.1249913092656595
'Urbane Hitzeinsel',de,Urbane_Hitzeinsel,#ff00ff,#ff00ff,1,0.1174177983327298
